Period;Time_sec;Away_0_Metabolic_power;Away_1_Metabolic_power;Away_2_Metabolic_power;Away_3_Metabolic_power;Away_4_Metabolic_power;Away_5_Metabolic_power;Away_6_Metabolic_power;Away_7_Metabolic_power;Away_8_Metabolic_power;Away_9_Metabolic_power;Away_10_Metabolic_power;Away_11_Metabolic_power;Away_12_Metabolic_power;Away_13_Metabolic_power;Away_14_Metabolic_power;Away_15_Metabolic_power;Away_16_Metabolic_power;Away_17_Metabolic_power;Away_18_Metabolic_power;Away_19_Metabolic_power;time;official_clock
1.0;0.0;22.861862148161393;141.2752532263479;37.06889034890897;21.1220235592751;38.682703989872245;50.02591207656119;48.919904187659014;3.7517340382125943;6.17718735462091;19.42380767251744;29.83897388864385;;;;;;;;;;0;0
1.0;1.0;130.1925320980056;585.167605565815;238.60864708334105;227.8307497493074;330.95826920043066;358.3960382408212;327.2220943581059;123.33816008440768;103.02093679798443;152.51552930568118;158.26778736165954;;;;;;;;;;1;1
1.0;2.0;297.78685105434766;1270.9103603193341;819.0225298578788;443.9927089829436;787.2632289722876;800.3459948694351;920.1836639825982;583.627203366847;450.0911707219228;435.20088759283846;750.8293512789248;;;;;;;;;;1;1
1.0;3.0;555.3362695377936;1769.4937378338886;1683.2187786639417;672.4060918024473;1219.3526346838478;1114.841712432562;1657.6542441686088;974.8855555494436;1009.3369040084361;769.8489325838801;1382.69318871693;;;;;;;;;;1;1
1.0;4.0;845.0266324657786;2043.4270830049295;2192.833466646187;848.068107600105;1504.2941755024658;1407.3019673559293;2128.575624482337;1197.791139334093;1385.3715883040634;1126.1685595845906;1751.929791067748;;;;;;;;;;1;1
1.0;5.0;1108.972103169648;2242.648189423099;2964.5851669320687;963.9446710559699;1658.896508797507;1680.2108970228085;2393.9641983533197;1410.4059899893082;1573.0209289091997;1442.7072873236832;1980.5431955844933;;;;;;;;;;1;1
1.0;6.0;1293.1584367402882;2643.2497010738407;3345.638528122511;1268.9226432021978;1984.016923148206;1958.3112147120712;2644.5910322072796;1727.875450363623;1784.4356548913358;1731.4909859994993;2337.956286661219;;;;;;;;;;1;1
1.0;7.0;1403.0016273595338;2989.608152475911;3513.33273605388;1540.8615506757917;2230.009278633324;2145.275118480098;2873.1996969218944;1941.197150287614;2082.0678318142654;2003.338899028585;2769.272844546828;;;;;;;;;;1;1
1.0;8.0;1474.673893100005;3249.3743829222444;3679.4932214714995;1688.8110872663956;2364.9406298478707;2776.2683331230864;3066.4466775607925;2149.905700966947;2233.709330625429;2122.9031641101546;3148.354887035361;;;;;;;;;;1;1
1.0;9.0;1558.1816278501644;3502.5571118598773;3803.23442498392;2035.5719716381313;2439.082103133435;3085.818187581296;3165.778753290794;2451.2128754525497;2354.5968011305517;2209.44510499902;3387.8969352119557;;;;;;;;;;1;1
1.0;10.0;1625.0693367890967;3832.299290543142;3947.4187487779163;2251.0819996336695;2585.8276288139473;3734.1277136006192;3420.822477135085;2670.889505042479;2729.080933857222;2541.7410307568293;3729.841021441376;;;;;;;;;;1;1
1.0;11.0;1740.8560666275769;4571.745890223339;4211.766058242137;2409.3675246707903;2909.042482765155;4696.885635542912;3810.6636967052427;2847.100948423632;2992.5502853636426;2902.500618042549;3945.767668600292;;;;;;;;;;1;1
1.0;12.0;1887.0011914721943;4845.342190361545;4813.217245007791;2806.6594200917707;3276.8692077582987;5525.505314979655;4177.976481690798;3061.1685911900922;3492.745288757782;3259.8335883279124;4308.536535222755;;;;;;;;;;1;1
1.0;13.0;1975.908207233894;5116.0296995351355;5237.900312745683;3168.0238976828896;3473.7555693979402;5933.124227578661;4334.967476646413;3160.9400618041755;3749.2801730417004;3458.9761019188295;4762.01612284053;;;;;;;;;;1;1
1.0;14.0;2039.2301073063863;5321.40392606634;5491.011303243517;3388.683791537561;3753.8412264505246;6294.893825765796;4482.543477923639;3308.4641718459393;3906.4219521988994;3705.703264763951;5585.632320948465;;;;;;;;;;1;1
1.0;15.0;2301.3880312981178;5914.7366493185355;6103.338727582769;3756.749582768264;4093.0127293817;6626.851231558204;4946.063012419543;3443.652397466612;4279.862032756018;4239.733212545684;6286.487397466978;;;;;;;;;;1;1
1.0;16.0;2614.1110223694786;6650.40979755572;7137.1615972678665;4386.028898483141;4715.276822570493;6964.269244638603;5571.763557914382;3969.9926371811416;5090.738731322612;5008.188713204871;6712.5550743863305;;;;;;;;;;1;1
1.0;17.0;2788.80486625977;7426.132172180638;7862.04339354837;4877.2808603265075;5482.428559344454;7287.879858938183;5953.755891129521;4408.492159018517;5903.279504742181;5708.027792534064;7185.264147369868;;;;;;;;;;1;1
1.0;18.0;2877.2285719869383;7900.132726201145;8350.67974307994;5204.366217423185;5833.831513018538;7598.226191996396;6130.692384308466;4818.947955346133;6245.681337991713;6086.218942603611;7555.803172598027;;;;;;;;;;1;1
1.0;19.0;2934.9205333309887;8193.017320770286;8822.750548962456;5418.022740737443;6158.537856596348;8072.155917527708;6297.298334753777;5068.373559368198;6462.651369896688;6444.86397711249;7756.172259661123;;;;;;;;;;1;1
1.0;20.0;2966.3613861345493;8401.088180171357;9069.34574637494;5521.747709293346;6760.939397257811;8343.065263074986;6473.766889722631;5207.20708398094;6604.108484487586;6731.175087900232;7957.676824210783;;;;;;;;;;1;1
1.0;21.0;3038.6612525027226;8789.104534718874;9231.581116212208;5644.764696310761;7003.478202189892;8616.580031539055;6670.40145272501;5304.169018768652;6801.138945703635;6947.086960377421;8435.303193486005;;;;;;;;;;1;1
1.0;22.0;3099.7360934610983;9216.950509303011;9768.464724304244;5799.109329593548;7108.412961874926;9002.610502090456;6828.844124288983;5411.447945334911;6981.40588645015;7092.211274171711;8888.288540469232;;;;;;;;;;1;1
1.0;23.0;3143.331272091391;9559.64147291346;10202.11048711604;5970.140401093926;7284.979598462919;9276.41531485541;7247.146184866587;5539.211221124194;7120.638193280321;7641.050981354747;9099.593186310354;;;;;;;;;;1;1
1.0;24.0;3230.0629704377493;9964.060522600477;10477.006036269237;6503.290432609709;7589.410764429162;9852.00588643433;7869.945742687501;5884.1959845150195;7371.547060605505;8099.29981255664;9468.687960674999;;;;;;;;;;1;1
1.0;25.0;3332.6992628072594;10279.07128739775;10772.538291688308;7167.715780272627;7936.016154828663;10284.270739431991;8156.639704283152;6333.120633145349;7778.740052882075;8398.142195983348;9866.318257738063;;;;;;;;;;1;1
1.0;26.0;3426.7568739383332;10404.999821560417;11011.103564089923;7429.020676704459;8079.139751327231;10484.289430206652;8366.148627120805;6641.507342686777;8157.184278532489;8636.949843259143;10131.338024393195;;;;;;;;;;1;1
1.0;27.0;3459.8395827471772;10556.208764772788;11177.406631698157;7540.314990688496;8176.621508714962;10586.057712299866;8578.955768397293;6781.677066124865;8304.235223193135;8777.301737629752;10269.503137320235;;;;;;;;;;1;1
1.0;28.0;3472.4674643012404;10787.015909441594;11343.989517530932;7597.6578938550665;8429.33046479909;10678.501111893383;8836.226121158415;6862.827961458062;8433.001526977632;8890.843170566377;10366.300522998587;;;;;;;;;;1;1
1.0;29.0;3476.1569201853463;11037.670455110287;11509.680679212315;7704.549512028766;8832.302579992702;10917.039517189907;9019.333768391685;6975.158252637164;8549.274374136177;9411.677105239663;10502.94707452268;;;;;;;;;;1;1
1.0;30.0;3480.0695909685246;11250.340121481631;11623.16993275364;7879.428597791941;9073.14819797232;11199.18885326526;9127.262562112923;7087.154404217216;8729.503963251984;9783.888756668151;10794.60384086553;;;;;;;;;;1;1
1.0;31.0;3481.233797502523;11546.335045067952;11766.967952150113;8319.566068205088;9260.520771365653;11421.679715901124;9335.150397516789;7258.16306964452;8947.984983470371;9927.653903370114;11584.391489742557;;;;;;;;;;1;1
1.0;32.0;3481.286314427265;12004.844712395514;12008.883902985694;8552.560137566323;9409.566896628408;11774.422855710562;9474.3777685113;7341.68433776569;9120.866036026193;9984.872064708343;11921.400247538431;;;;;;;;;;1;1
1.0;33.0;3481.6101687965142;12283.873812097152;12599.057989765233;8838.941620665126;9675.096000820195;11919.588450346935;10306.434357255588;7447.5520087710065;9301.873287367518;10108.037384841697;12048.587632450724;;;;;;;;;;1;1
1.0;34.0;3483.2601525920386;12773.89252660792;13006.398740562508;9105.037509779286;10041.227472180624;12158.660175710334;11178.239548789576;7545.517285757287;9374.40036885564;10262.085349915884;12179.968242644338;;;;;;;;;;1;1
1.0;35.0;3487.4280562480603;13004.294862328597;13225.48504123822;9260.207201506182;10608.09004244166;12315.638560609683;11485.314658021762;7623.105521503473;9437.77059471685;10374.393084645153;12337.606882332864;;;;;;;;;;1;1
1.0;36.0;3489.9009347213487;13231.396337539558;13422.565297803892;9401.96789467248;11363.015400150556;12485.031556496444;11684.471664273487;7693.877500767314;9516.967679970294;10486.822910054385;12558.217659372876;;;;;;;;;;1;1
1.0;37.0;3498.6278443549863;13528.840012827075;13649.749096809363;9597.753437724548;11588.12612402165;13330.590885767431;12048.790275988758;7785.915406129424;9648.376939833272;10763.62259103869;13198.978834652857;;;;;;;;;;1;1
1.0;38.0;3526.202357072017;13808.692923622948;13851.335832025583;9971.331542704764;12044.173320141954;14241.209398942858;12521.039633667302;7903.536211936143;9782.23054944405;11058.336616960434;13648.603845370018;;;;;;;;;;1;1
1.0;39.0;3563.8089714863895;14012.420140275151;13963.645392491264;10293.17803795773;12376.723725646538;14695.663918966879;12856.384318547374;8039.66359628674;10050.123240740857;11199.937223460656;14143.383593639042;;;;;;;;;;1;1
1.0;40.0;3648.880883983806;14325.630479015017;14102.79961140146;10647.864701496843;12637.528704910877;14993.294870354743;13043.715362943627;8259.600399449902;10489.037859167862;11286.307537693241;14522.97484437164;;;;;;;;;;1;1
1.0;41.0;3768.638712408381;14610.189343246666;14254.378369143431;10869.57633802934;12857.385078052323;15201.238334952594;13298.518094682124;8427.433614068617;10926.129421930027;11542.753043300623;14710.503785144136;;;;;;;;;;1;1
1.0;42.0;3828.77561325421;14847.433988520632;14438.177324000353;11312.10954425539;12991.011290402594;15374.974302203289;13591.936270551138;8630.866934154976;11151.126210858032;11884.255578078695;14896.9970005487;;;;;;;;;;1;1
1.0;43.0;3847.021311555868;15049.623433726474;14774.320575732412;11502.573863887626;13092.451462979048;15695.652047896192;13816.27582943289;9694.906516801413;11316.615087188346;12057.119924324928;14989.626357580817;;;;;;;;;;1;1
1.0;44.0;3848.6261475885362;15471.243079279458;15248.234709517463;11883.877684753128;13298.518394859535;16117.484088333817;13994.353687983123;10462.540742793923;11444.05056993313;12133.037901434525;15054.601065913641;;;;;;;;;;1;1
1.0;45.0;3852.082717076882;15725.387482931212;15436.531841432581;12294.742071054092;13461.05009036517;16482.873077847576;14161.529016385664;10794.462735738789;11572.665434767707;12247.646536569642;15193.572011259732;;;;;;;;;;1;1
1.0;46.0;3856.9514220950155;16018.350855915069;15799.17477781477;12636.31975646104;13720.263173486612;16786.732399744476;14483.780427813508;10982.309505569177;11742.92307330585;12413.101905739379;15348.481970737996;;;;;;;;;;1;1
1.0;47.0;3865.2313192243682;16350.443365102683;16143.433938598502;13168.211488328561;14268.853960597482;17144.107621080955;15107.964923839518;11103.754764095249;11992.95164277021;12648.058715833951;15560.315305078117;;;;;;;;;;1;1
1.0;48.0;3951.0976944753334;16911.415582264097;17035.84417591364;13742.473188007578;14587.34872917057;17380.675589040267;15563.248856211794;11160.382635559221;12293.310099368193;12968.004682821706;16051.04103330817;;;;;;;;;;1;1
1.0;49.0;4039.7669093846657;17324.95899216353;17549.757883234073;14118.344637505916;14736.59790257328;17702.237396114862;16118.69932624483;11273.30586549884;12490.647218272508;13291.045230258638;16487.029758536482;;;;;;;;;;1;1
1.0;50.0;4082.7762527400732;17668.182669368038;18661.311217157923;14348.7109619876;14865.547808726049;17867.98374880248;16338.560216282178;11398.435870082027;12592.427192230924;13519.099747009881;16761.70963537623;;;;;;;;;;1;1
1.0;51.0;4095.7217734587675;17812.536236798685;19066.187216303308;14527.076639568142;14927.251310547877;17962.591015337483;16575.0050487331;11523.363200488919;12702.223621641355;13635.054226235123;16895.960990290056;;;;;;;;;;1;1
1.0;52.0;4150.318528476028;17928.241363055226;19405.710590623974;14955.937984970738;15059.740749891705;18138.861842398517;16875.522226238743;11688.591117817716;12818.648371957173;13733.349629671942;16973.76001536256;;;;;;;;;;1;1
1.0;53.0;4229.90305641963;18080.71372859362;19797.217020260905;15398.921774972281;15205.58428099856;18436.38985420835;17168.258687602243;11828.830822282946;12944.77498882016;13865.002205045952;17087.680486701385;;;;;;;;;;1;1
1.0;54.0;4320.146168642691;18210.168413213774;20102.252899216048;15796.272525889957;15317.001383881732;18720.14570347459;17440.136726532957;11942.852070478692;13039.738135892476;13966.46707587197;17205.336922513474;;;;;;;;;;1;1
1.0;55.0;4402.729244632317;18351.111791055588;20260.213623651634;16105.566860365963;15392.05124988612;18906.174097456693;17673.837246729483;12050.497521200125;13094.511842417975;14054.50288441758;17306.19699994304;;;;;;;;;;1;1
1.0;56.0;4477.101115500647;18540.04561437565;20349.469442629925;16308.532271383532;15440.785419372603;19006.953466202543;17830.98727266075;12152.401283790712;13149.272492862132;14141.092045442085;17379.35030989097;;;;;;;;;;1;1
1.0;57.0;4533.908714012611;18705.106566417962;20422.274902888727;16459.273868426426;15470.349174017929;19087.10776319954;17968.078262311028;12243.34407201439;13220.741310003137;14233.07680896826;17410.973924834172;;;;;;;;;;1;1
1.0;58.0;4599.403636294437;18803.655642949136;20453.40035818859;16614.32212740273;15511.38178580171;19162.56066943659;18072.829307669686;12318.038278708256;13281.618474685063;14308.891954203138;17507.56726111418;;;;;;;;;;1;1
1.0;59.0;4649.910469358288;18884.187843903645;20478.819529575165;16757.419161108755;15541.844935252879;19254.061064366855;18176.485556854248;12380.82317431993;13325.283076341348;14390.374729933617;17659.315955723632;;;;;;;;;;1;1
