player_name,player_id,position,vaep_rating_per_mn_played
Ruby Mace,41812,Center Defensive Midfield,-0.43699306148528505
Mary Boio Fowler,35693,Center Forward,-0.462370489265516
Esme Beth Morgan,4649,Left Back,-0.020880652047106884
Leila Ouahabi El Ouahabi,10163,Left Back,-0.10417986899988274
Demi Stokes,4651,Left Back,-0.6708059308192307
Esme Beth Morgan,4649,Left Center Back,-0.020880652047106884
Deyna Cristina Castellanos Naujenis,49938,Left Center Midfield,0.018077038659501235
Julie Blakstad,191851,Left Wing,-0.04132299714016513
Esme Beth Morgan,4649,Right Back,-0.020880652047106884
Alanna Stephanie Kennedy,5078,Right Center Back,-0.0028592962698115636
Esme Beth Morgan,4649,Right Center Back,-0.020880652047106884
Leila Ouahabi El Ouahabi,10163,Right Center Back,-0.10417986899988274
Deyna Cristina Castellanos Naujenis,49938,Right Center Midfield,0.018077038659501235
Ruby Mace,41812,Right Center Midfield,-0.43699306148528505
Hayley Emma Raso,6818,Right Midfield,0.06662243130669253
Hayley Emma Raso,6818,Right Wing,0.06662243130669253
Julie Blakstad,191851,Right Wing,-0.04132299714016513
